Name,Display Name,Brands,Brands copy
3736,3736 - COLORADO BELLE/EDGEWATER RESORT,,
3737,3737 - RIVIERA HOTEL AND CASINO,,
3738,3738 - TROPICANA RESORT AND CASINO,,
3739,3739 - WOODSIDE HOTELS AND RESORTS,,
3740,3740 - TOWNPLACE SUITES,,
3741,3741 - MILLENIUM BROADWAY HOTEL,,
3742,3742 - CLUB MED,,
3743,3743 - BILTMORE HOTEL AND SUITES,,
3744,3744 - CAREFREE RESORTS,,
3745,3745 - ST. REGIS HOTEL,,
3746,3746 - THE ELIOT HOTEL,,
3747,3747 - CLUBCORP/CLUB RESORTS,,
3748,3748 - WELESLEY INNS,,
3749,3749 - THE BEVERLY HILLS HOTEL,,
3750,3750 - CROWNE PLAZA HOTELS,,
3751,3751 - HOMEWOOD SUITES,,
3752,3752 - PEABODY HOTELS,,
3753,3753 - GREENBRIAH RESORTS,,
3754,3754 - AMELIA ISLAND PLANATION,,
3755,3755 - THE HOMESTEAD,,
3756,3756 - SOUTH SEAS RESORTS,,
3757,3757 -  N/A,,
3758,3758 -  N/A,,
3759,3759 -  N/A,,
3760,3760 -  N/A,,
3761,3761 -  N/A,,
3762,3762 -  N/A,,
3763,3763 -  N/A,,
3764,3764 -  N/A,,
3765,3765 -  N/A,,
3766,3766 -  N/A,,
3767,3767 -  N/A,,
3768,3768 -  N/A,,
3769,3769 -  N/A,,
3770,3770 -  N/A,,
3771,3771 -  N/A,,
3772,3772 -  N/A,,
3773,3773 -  N/A,,
3774,3774 -  N/A,,
3775,3775 -  N/A,,
3776,3776 -  N/A,,
3777,3777 -  N/A,,
3778,3778 -  N/A,,
3779,3779 -  N/A,,
3780,3780 -  N/A,,
3781,3781 -  N/A,,
3782,3782 -  N/A,,
3783,3783 -  N/A,,
3784,3784 -  N/A,,
3785,3785 -  N/A,,
3786,3786 -  N/A,,
3787,3787 -  N/A,,
3788,3788 -  N/A,,
3789,3789 -  N/A,,
3790,3790 -  N/A,,
3816,3816 -  N/A,,
3835,3835 - * MASTERS ECONOMY INNS,,
4011,4011 -  N/A,,
4111,"4111 - Local/Suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.",,
4112,4112 - Passenger Railways,,
4119,4119 - Ambulance Services,,
4121,4121 - Taxicabs and Limousines,,
4131,"4131 - Bus Lines, Including Charters, Tour Buses",,
4214,4214 - Motor Freight Carriers,clowte,
4215,4215 - Courier Services – Air or Ground,,
4225,"4225 - Warehousing, Public",,
4411,4411 - Cruise Lines,,
4457,4457 - Boat Rentals and Leases,,
4468,"4468 - Marinas, Marine Service, and Supplies",,
4511,"4511 - Airlines, Air Carriers ( not listed elsewhere)",,
4582,"4582 - Airports, Airport Terminals",,
4722,4722 - Travel Agencies and Tour Operations,,
4723,4723 - Package Tour Operators (For use in Germany only),,
4784,4784 - Toll and Bridge Fees,,
4789,"4789 - Transportation Services, Not elsewhere classified)",,
4812,4812 - Telecommunications Equipment including telephone sales,,
